time_ns,rmsd_peptide_nm,rmsd_ache_nm,rmsd_complex_nm
16.7600,0.045371,0.155728,0.155766
16.7800,0.054942,0.168487,0.168098
16.8000,0.056258,0.163272,0.162787
16.8200,0.069681,0.168994,0.168769
16.8600,0.045203,0.171986,0.172265
16.8800,0.047856,0.163914,0.164141
16.9000,0.054779,0.172449,0.171819
16.9200,0.049719,0.170410,0.170352
16.9600,0.056588,0.168278,0.168099
16.9800,0.049270,0.167369,0.167376
17.0200,0.067973,0.170423,0.170248
17.0400,0.060945,0.189177,0.189224
17.0600,0.063804,0.184835,0.184491
17.0800,0.072624,0.184835,0.184491
17.1000,0.046604,0.160505,0.160523
17.1200,0.050797,0.160505,0.160523
17.1400,0.050050,0.162442,0.162891
17.1800,0.063999,0.160221,0.160170
17.2200,0.056631,0.169863,0.169658
17.2400,0.056243,0.171782,0.171699
17.3200,0.039493,0.181126,0.180634
17.3400,0.048707,0.172785,0.172274
17.3600,0.045859,0.172785,0.172274
17.4200,0.056993,0.188377,0.188156
17.4400,0.049223,0.188377,0.168463
17.4600,0.050492,0.168592,0.168463
17.5000,0.043905,0.185370,0.185179
17.5200,0.045704,0.185370,0.185179
17.5800,0.072795,0.191974,0.192139
17.6200,0.055439,0.169546,0.169629
17.6400,0.067236,0.179112,0.178757
17.7000,0.046128,0.169375,0.169099
17.7400,0.057464,0.171159,0.171782
17.8000,0.051614,0.167351,0.166779
17.8200,0.059771,0.170964,0.170728
17.8400,0.051800,0.189430,0.188913
17.8800,0.064154,0.171949,0.171416
17.9000,0.050922,0.176271,0.175853
17.9200,0.061547,0.182620,0.182011
17.9400,0.055847,0.180025,0.179689
18.0200,0.044029,0.167098,0.166507
18.0600,0.052419,0.178169,0.178108
18.0800,0.049365,0.176762,0.176218
18.1600,0.072087,0.176943,0.176543
18.1800,0.046915,0.182444,0.182306
18.2000,0.060211,0.172102,0.172537
18.2200,0.057281,0.177927,0.177786
18.2400,0.043785,0.185001,0.184661
18.2600,0.060251,0.185001,0.184661
18.2800,0.054601,0.184629,0.184003
18.3000,0.051728,0.174922,0.174604
18.3200,0.065507,0.174922,0.174604
18.3400,0.053559,0.183608,0.183084
18.3600,0.059596,0.169762,0.169354
18.3800,0.058621,0.169762,0.169354
18.4000,0.068859,0.182695,0.182060
18.4600,0.053870,0.196577,0.195821
18.4800,0.059574,0.196577,0.195821
18.5000,0.051896,0.174764,0.174324
18.5400,0.066285,0.191618,0.191035
18.5600,0.051989,0.181467,0.181090
18.5800,0.062185,0.166990,0.166614
18.6200,0.053386,0.171693,0.171279
18.6400,0.053773,0.186355,0.185634
18.6600,0.061394,0.186092,0.185634
18.6800,0.059270,0.186092,0.185634
18.7400,0.052703,0.180977,0.180700
18.7600,0.059602,0.173536,0.173252
18.8200,0.049804,0.173781,0.173513
18.8600,0.061301,0.184688,0.184188
18.8800,0.054155,0.170452,0.169963
18.9000,0.062029,0.170452,0.169963
